code,title,parent_code,group_level,source_url,source_status,source_file,candidate_type
3114,Техники-электроники,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3115,Техники-механики,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3116,Техники в химическом производстве,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3117,Техники в добывающей промышленности и металлургии,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3118,Чертежники,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3119,Техники в области физических и технических наук, не входящие в другие группы,311,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
312,Мастера (бригадиры) на производстве и в строительстве,31,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3121,Мастера (бригадиры) в добывающей промышленности,312,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3122,Мастера (бригадиры) в обрабатывающей промышленности,312,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3123,Мастера (бригадиры) в строительстве,312,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
313,Техники (операторы) по управлению технологическими процессами,31,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
3131,Операторы установок по выработке электроэнергии,313,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3132,Операторы мусоросжигательных печей, очистных сооружений и аналогичного оборудования,313,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
3133,Операторы по управлению технологическими процессами в химическом производстве,313,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
